7 10 2589
10656 13275.0 18117 20664 5860
hub : 481012, 3185, -1209, 45.65, 202500, 2
major : 809398, -473, 1111, 72.16, 242500, 2
major : 556326, 2923, 1481, 57.75, 159750, 1
regional : 905056, 138, 2075, 97.46, 125600, 1
regional : 134017, 1548, 235, 92.95, 199800, 2
regional : 664408, -29, -736, 87.67, 144000, 1
regional : 590305, 2093, 1384, 109.12, 190800, 1
major : 549568, 3172, -197, 71.94, 136000, 3
regional : 793606, 2608, 490, 88.77, 147800, 1
major : 898202, -565, -55, 52.8, 245250, 2
business : 1163852024, 189, 1, [905056, 898202]
economy : 2280534280, 187, 3, [590305, 898202]
economy : 7095322315, 52, 0, [556326, 134017]
economy : 3341221943, 200, 1, [590305, 134017]
economy : 9537838346, 87, 10, [664408, 556326]
business : 7515240992, 81, 7, [898202, 556326]
economy : 6111458529, 166, 0, [481012, 590305]
economy : 9759502406, 111, 7, [664408, 134017]
business : 6589746031, 189, 4, [481012, 556326]
first : 6220622980, 145, 0, [590305, 898202]
economy : 3097385909, 200, 0, [134017, 590305]
economy : 7764450468, 57, 4, [793606, 549568]
economy : 3179429195, 129, 0, [556326, 134017]
economy : 6395941907, 64, 3, [590305, 664408]
economy : 8641383428, 70, 5, [793606, 809398]
economy : 8601110919, 127, 0, [664408, 481012]
economy : 7038523754, 127, 1, [590305, 481012]
first : 3349466573, 63, 2, [590305, 793606]
business : 4044824230, 62, 4, [793606, 905056]
economy : 5376862907, 69, 1, [809398, 590305]
economy : 6240550235, 62, 0, [556326, 793606]
business : 6536500803, 176, 2, [549568, 556326]
economy : 5596184603, 105, 0, [549568, 905056]
economy : 3801282374, 181, 1, [905056, 556326]
economy : 3021480017, 57, 1, [793606, 898202]
economy : 7323758056, 154, 4, [905056, 809398]
economy : 2714655452, 119, 7, [549568, 664408]
economy : 8546242017, 168, 3, [481012, 549568]
first : 7008895878, 123, 1, [134017, 809398]
economy : 2602561370, 77, 3, [664408, 793606]
economy : 3978875554, 199, 1, [898202, 134017]
economy : 3399488994, 158, 0, [134017, 664408]
economy : 9705997063, 97, 5, [590305, 809398]
economy : 2251500985, 160, 1, [134017, 590305]
economy : 9321478371, 58, 0, [793606, 549568]
economy : 2965203245, 159, 0, [905056, 549568]
economy : 8604089539, 194, 5, [590305, 664408]
economy : 7682338407, 100, 1, [590305, 134017]
economy : 2860128777, 190, 2, [134017, 793606]
business : 7886094542, 60, 2, [905056, 556326]
economy : 7537943915, 200, 1, [481012, 549568]
first : 3476486411, 163, 3, [481012, 556326]
business : 9677783836, 159, 0, [134017, 664408]
business : 3875299963, 120, 3, [793606, 481012]
business : 4631584454, 99, 3, [590305, 898202]
economy : 6658519176, 159, 7, [809398, 134017]
economy : 6856170966, 97, 10, [556326, 549568]
economy : 8069965315, 80, 1, [809398, 793606]
economy : 2571155100, 97, 0, [556326, 898202]
economy : 5113760099, 187, 2, [590305, 905056]
economy : 6933359560, 130, 2, [664408, 481012]
economy : 7057758891, 66, 0, [905056, 809398]
economy : 3851356889, 132, 1, [549568, 898202]
economy : 3358843326, 113, 2, [664408, 549568]
economy : 1888612082, 188, 9, [809398, 481012]
business : 7648304377, 57, 1, [590305, 664408]
economy : 2442784506, 101, 0, [793606, 905056]
economy : 5728849237, 75, 4, [481012, 898202]
economy : 2251773426, 65, 1, [793606, 664408]
economy : 5500259018, 102, 8, [905056, 549568]
economy : 1981876732, 126, 2, [793606, 809398]
first : 6082371009, 60, 2, [549568, 809398]
business : 1232125009, 77, 1, [793606, 556326]
economy : 1824769207, 111, 1, [590305, 556326]
economy : 4139631898, 166, 1, [664408, 905056]
business : 2534086369, 179, 6, [590305, 793606]
economy : 4105525168, 70, 4, [664408, 549568]
economy : 2147994147, 125, 1, [793606, 664408]
economy : 1880106512, 58, 0, [809398, 549568]
economy : 9051797808, 177, 0, [809398, 549568]
economy : 5109333267, 190, 2, [664408, 549568]
economy : 7796650287, 57, 2, [590305, 793606]
luxury : 6403284373, 151, 0, [898202, 549568]
economy : 3022982374, 145, 1, [556326, 664408]
economy : 1073452009, 172, 6, [898202, 905056]
business : 9755610070, 50, 1, [556326, 134017]
economy : 3201687667, 81, 5, [590305, 809398]
economy : 1581669416, 172, 1, [664408, 134017]
economy : 6414815414, 110, 1, [793606, 809398]
business : 3651209126, 64, 0, [590305, 481012]
economy : 2097502152, 158, 1, [590305, 793606]
first : 5655641568, 178, 1, [481012, 809398]
business : 5995552980, 177, 2, [898202, 481012]
economy : 2488634077, 53, 3, [556326, 664408]
business : 3687733836, 135, 7, [556326, 793606]
luxury : 7827510915, 160, 1, [590305, 898202]
business : 6623611954, 155, 0, [590305, 664408]
economy : 8115147547, 115, 4, [134017, 481012]
economy : 5093279535, 108, 1, [134017, 809398]
economy : 5640061755, 117, 1, [549568, 590305]
economy : 5810975793, 173, 3, [793606, 549568]
economy : 2596577643, 165, 0, [549568, 898202]
economy : 5321555259, 146, 5, [556326, 590305]
business : 6165507951, 110, 1, [549568, 809398]
economy : 5234844357, 68, 0, [590305, 556326]
business : 8371322162, 67, 3, [793606, 664408]
economy : 7456339291, 52, 0, [549568, 556326]
economy : 5097959418, 140, 2, [664408, 793606]
economy : 8473778226, 88, 3, [590305, 549568]
economy : 1595921914, 121, 5, [905056, 809398]
economy : 8266208890, 153, 0, [590305, 556326]
business : 8967344141, 199, 1, [809398, 481012]
economy : 4061338514, 103, 1, [664408, 134017]
economy : 7386526469, 181, 0, [590305, 664408]
luxury : 8375991331, 150, 1, [481012, 134017]
first : 2047596539, 162, 2, [134017, 549568]
business : 2718077170, 58, 0, [809398, 905056]
economy : 3972773938, 75, 10, [898202, 664408]
economy : 3578529569, 123, 1, [549568, 481012]
business : 5633623192, 70, 3, [905056, 793606]
first : 8697125093, 103, 1, [793606, 134017]
economy : 8196977026, 116, 3, [556326, 898202]
economy : 8204743672, 155, 2, [556326, 590305]
business : 2269450337, 193, 4, [556326, 481012]
economy : 5489990750, 145, 3, [556326, 549568]
economy : 3904226669, 55, 3, [556326, 898202]
economy : 3183425390, 149, 2, [556326, 793606]
economy : 7074821438, 58, 3, [793606, 809398]
economy : 8036938141, 158, 1, [590305, 556326]
business : 1588062318, 164, 3, [590305, 809398]
economy : 2291267093, 149, 2, [905056, 793606]
economy : 1074948461, 127, 8, [809398, 590305]
economy : 7047219049, 106, 1, [481012, 793606]
business : 4271637184, 194, 1, [905056, 809398]
economy : 9635393232, 95, 1, [898202, 664408]
economy : 3988111152, 181, 1, [481012, 905056]
economy : 8377670671, 68, 8, [809398, 134017]
business : 1784442809, 50, 2, [134017, 905056]
economy : 6742949703, 90, 2, [664408, 809398]
economy : 8094243584, 163, 3, [556326, 809398]
economy : 3907530144, 167, 2, [664408, 549568]
economy : 4066337712, 106, 0, [809398, 793606]
economy : 3146973491, 177, 8, [898202, 556326]
economy : 6041198009, 187, 1, [809398, 481012]
business : 1616877450, 129, 2, [664408, 134017]
economy : 7524627364, 85, 8, [898202, 549568]
business : 6813271379, 58, 1, [905056, 556326]
economy : 1562698902, 116, 2, [793606, 905056]
economy : 3309470671, 72, 2, [590305, 556326]
business : 4064795384, 64, 3, [549568, 664408]
business : 8699148503, 169, 1, [481012, 590305]
business : 5232569421, 136, 3, [556326, 481012]
economy : 2316943057, 188, 2, [549568, 590305]
economy : 9746814945, 156, 9, [556326, 549568]
business : 6736700605, 150, 1, [549568, 134017]
economy : 6780091382, 199, 1, [809398, 134017]
economy : 7535040161, 147, 1, [809398, 481012]
economy : 3206459859, 59, 1, [809398, 481012]
economy : 5304353631, 147, 1, [481012, 549568]
economy : 5561703845, 59, 1, [549568, 905056]
economy : 6505525384, 73, 2, [134017, 905056]
economy : 6446614277, 101, 2, [793606, 549568]
business : 6534775207, 83, 4, [556326, 809398]
luxury : 3926929611, 172, 9, [481012, 549568]
economy : 6067238039, 171, 1, [905056, 809398]
economy : 3921350659, 87, 7, [664408, 590305]
economy : 9124748249, 122, 1, [793606, 556326]
economy : 1331268589, 142, 1, [549568, 905056]
economy : 8668745974, 42, 1, [549568, 556326]
economy : 1866677278, 93, 2, [134017, 481012]
economy : 2658077276, 48, 3, [793606, 898202]
economy : 5534378301, 82, 1, [905056, 793606]
economy : 6712263458, 170, 0, [664408, 556326]
economy : 8505651655, 169, 1, [134017, 793606]
economy : 2415466847, 184, 3, [905056, 556326]
business : 2091930917, 151, 1, [590305, 549568]
economy : 2925302614, 64, 2, [905056, 664408]
first : 9891123347, 121, 1, [556326, 664408]
luxury : 4766906208, 139, 1, [556326, 590305]
business : 9494277288, 183, 8, [481012, 664408]
economy : 5056251292, 112, 0, [793606, 905056]
economy : 1213234277, 185, 1, [905056, 134017]
economy : 8430958603, 171, 2, [481012, 549568]
business : 6025116688, 72, 2, [549568, 793606]
economy : 1534987620, 179, 6, [134017, 549568]
business : 9584862054, 118, 6, [590305, 481012]
economy : 3910264467, 146, 0, [481012, 809398]
economy : 8139745174, 66, 2, [481012, 793606]
economy : 5874181168, 65, 1, [481012, 905056]
business : 8806512060, 42, 3, [664408, 905056]
economy : 9736650143, 84, 2, [898202, 481012]
economy : 5434728604, 59, 4, [793606, 481012]
business : 8293490273, 58, 10, [809398, 590305]
economy : 5786686232, 171, 1, [664408, 590305]
business : 6559502622, 50, 10, [549568, 556326]
economy : 5487446398, 80, 4, [590305, 809398]
economy : 5613495863, 70, 1, [793606, 134017]
economy : 5921608237, 64, 2, [590305, 134017]
economy : 8124391987, 74, 2, [898202, 793606]
business : 9685659064, 147, 1, [809398, 905056]
economy : 3083876597, 162, 2, [134017, 809398]
economy : 5188610566, 45, 1, [549568, 134017]
economy : 5400291712, 68, 1, [793606, 809398]
business : 9316008332, 83, 3, [549568, 590305]
business : 7490693077, 124, 1, [590305, 793606]
economy : 3836472958, 100, 2, [664408, 809398]
economy : 9015566428, 154, 1, [793606, 898202]
business : 1810426790, 95, 5, [556326, 809398]
economy : 3109436233, 53, 0, [809398, 556326]
business : 2909275217, 120, 1, [481012, 664408]
economy : 4375167048, 185, 2, [793606, 134017]
economy : 9123615084, 137, 2, [134017, 898202]
business : 1095840950, 155, 1, [664408, 905056]
economy : 8696050261, 138, 0, [481012, 809398]
business : 3266477392, 188, 1, [549568, 481012]
economy : 4200168370, 92, 0, [809398, 905056]
business : 1246526162, 158, 0, [556326, 905056]
economy : 2106502547, 163, 1, [481012, 556326]
business : 4234181743, 123, 9, [905056, 664408]
economy : 9599087444, 107, 1, [134017, 590305]
economy : 6691043454, 105, 0, [549568, 664408]
economy : 4121503327, 155, 0, [905056, 134017]
economy : 3305951253, 121, 1, [664408, 481012]
economy : 3300966639, 86, 4, [809398, 481012]
economy : 7963840386, 50, 0, [905056, 590305]
business : 1609685386, 200, 0, [556326, 905056]
economy : 5562356582, 198, 2, [809398, 590305]
economy : 8173349600, 79, 0, [481012, 793606]
economy : 4398159548, 131, 0, [481012, 664408]
economy : 9066412288, 112, 2, [549568, 793606]
luxury : 9820210249, 112, 0, [556326, 134017]
luxury : 4803826115, 175, 1, [556326, 134017]
business : 2210897326, 132, 2, [134017, 664408]
economy : 1375429955, 134, 1, [905056, 481012]
first : 6674539888, 158, 0, [134017, 556326]
business : 5491494173, 67, 10, [590305, 481012]
business : 1497237500, 46, 2, [481012, 549568]
economy : 6740140481, 101, 2, [898202, 664408]
economy : 8646443142, 142, 8, [905056, 549568]
business : 9991395172, 156, 2, [898202, 809398]
economy : 5412549787, 166, 2, [549568, 809398]
economy : 9141045331, 161, 6, [481012, 134017]
economy : 8697034844, 197, 2, [134017, 549568]
economy : 6500352143, 96, 0, [134017, 664408]
economy : 6322242713, 116, 1, [664408, 134017]
economy : 4131194304, 111, 3, [905056, 793606]
economy : 5148831831, 99, 0, [549568, 793606]
business : 8970413686, 196, 1, [134017, 809398]
economy : 3037819851, 178, 5, [556326, 134017]
economy : 6246147073, 43, 1, [134017, 664408]
economy : 4843034038, 42, 1, [664408, 556326]
luxury : 1135652588, 186, 1, [793606, 556326]
economy : 3756548812, 111, 2, [556326, 809398]
economy : 4247101380, 126, 1, [664408, 590305]
business : 4185849247, 131, 1, [905056, 809398]
economy : 8053079135, 177, 3, [556326, 793606]
business : 6677935036, 62, 0, [549568, 898202]
economy : 7467149503, 180, 2, [590305, 664408]
first : 7839705541, 82, 0, [664408, 905056]
economy : 4318834840, 50, 1, [556326, 905056]
business : 3248746650, 181, 0, [809398, 664408]
economy : 1887344818, 133, 2, [898202, 793606]
economy : 1962576885, 112, 4, [793606, 809398]
economy : 7834495386, 64, 2, [134017, 905056]
business : 4097716489, 154, 1, [809398, 898202]
economy : 3042739182, 80, 1, [134017, 809398]
economy : 9513053535, 99, 0, [793606, 905056]
economy : 4045625403, 83, 2, [809398, 793606]
economy : 9233655619, 88, 0, [905056, 549568]
economy : 8233674833, 171, 0, [809398, 664408]
economy : 2084985800, 107, 1, [793606, 905056]
economy : 7409284876, 99, 4, [590305, 905056]
business : 9074996457, 112, 1, [809398, 549568]
business : 5758527851, 63, 0, [590305, 793606]
business : 5259710535, 161, 1, [549568, 556326]
business : 4172456719, 114, 1, [809398, 556326]
economy : 6698122753, 180, 1, [556326, 481012]
economy : 1086839806, 164, 2, [905056, 809398]
economy : 4635227581, 174, 1, [549568, 898202]
business : 9437477503, 74, 3, [905056, 481012]
first : 3116664457, 88, 0, [664408, 793606]
economy : 7688137934, 122, 0, [793606, 898202]
business : 4676518098, 161, 0, [793606, 809398]
business : 4160542054, 198, 1, [556326, 549568]
economy : 8920431413, 199, 2, [556326, 793606]
economy : 7691473010, 130, 1, [905056, 793606]
economy : 5468834410, 81, 1, [905056, 590305]
business : 5988015496, 83, 1, [905056, 549568]
economy : 5806841525, 97, 0, [905056, 134017]
economy : 2933276970, 149, 5, [664408, 556326]
economy : 7226545681, 63, 10, [549568, 809398]
economy : 3806077310, 188, 0, [664408, 898202]
economy : 1857022777, 145, 1, [134017, 809398]
economy : 4800313055, 175, 1, [481012, 793606]
economy : 6997684427, 80, 4, [664408, 481012]
economy : 9751623845, 85, 0, [793606, 590305]
