18 10 1964
11952 14962.5 15039 23652 5450
regional : 830684, -103, -1109, 81.07, 157800, 4
major : 107417, -904, 1803, 48.95, 218500, 5
major : 687791, 924, 242, 50.05, 240750, 5
hub : 227105, 1284, -2209, 52.14, 230400, 4
regional : 474237, 1253, 2200, 66.66, 175800, 2
regional : 119743, -1703, -2929, 79.31, 164800, 2
regional : 740833, -1040, -1183, 66.44, 150000, 3
major : 555802, 2839, 354, 53.68, 155500, 4
hub : 984826, -405, 1464, 38.39, 203100, 4
regional : 976870, 98, 229, 105.82, 150800, 3
economy : 7002833410, 104, 2, [227105, 976870]
economy : 1755261582, 155, 1, [984826, 687791]
economy : 8785928633, 82, 1, [976870, 107417]
business : 4556415967, 166, 0, [474237, 830684]
business : 5313921916, 41, 2, [740833, 984826]
economy : 5205015665, 179, 5, [474237, 687791]
economy : 4107547897, 44, 1, [976870, 740833]
economy : 3768154224, 158, 2, [830684, 976870]
economy : 6117255750, 76, 6, [119743, 830684]
economy : 6291410080, 68, 1, [555802, 119743]
economy : 1718442203, 83, 1, [984826, 107417]
economy : 9977674655, 108, 3, [227105, 119743]
economy : 2582282051, 92, 2, [107417, 830684]
economy : 8306098056, 113, 2, [474237, 984826]
economy : 6828694009, 103, 1, [119743, 740833]
first : 9055651394, 178, 1, [555802, 107417]
business : 2116107567, 140, 0, [830684, 107417]
economy : 3233812297, 114, 3, [474237, 740833]
first : 3263147177, 108, 10, [119743, 740833]
business : 8852242837, 139, 2, [227105, 984826]
economy : 3949101575, 113, 4, [740833, 830684]
economy : 2128149262, 159, 1, [830684, 687791]
economy : 9330920161, 179, 4, [984826, 740833]
business : 9531159605, 94, 1, [830684, 976870]
luxury : 8481479293, 163, 1, [107417, 830684]
business : 2004285992, 90, 1, [984826, 687791]
luxury : 5968302286, 182, 1, [227105, 119743]
economy : 2827053401, 69, 2, [984826, 119743]
economy : 6783095580, 126, 2, [474237, 687791]
economy : 8721884186, 157, 1, [976870, 555802]
economy : 2453525795, 147, 0, [555802, 119743]
business : 1000566040, 141, 1, [474237, 830684]
economy : 9110607928, 40, 3, [474237, 107417]
first : 6077158550, 139, 7, [984826, 474237]
economy : 3185054173, 75, 1, [740833, 830684]
business : 5246307752, 170, 1, [740833, 555802]
business : 2243901484, 62, 3, [107417, 474237]
economy : 1629774873, 85, 1, [984826, 830684]
economy : 3599837590, 196, 2, [984826, 740833]
first : 8399997606, 104, 1, [740833, 227105]
business : 4069199468, 176, 0, [107417, 687791]
economy : 7941628957, 128, 2, [555802, 740833]
business : 1426299537, 172, 4, [984826, 474237]
economy : 3573998278, 172, 1, [976870, 830684]
economy : 6729712469, 158, 1, [555802, 740833]
economy : 8845378940, 176, 2, [830684, 474237]
first : 2798054797, 174, 0, [119743, 687791]
economy : 6031149385, 52, 0, [119743, 976870]
economy : 7115437191, 45, 2, [555802, 687791]
economy : 4464517295, 94, 0, [687791, 976870]
economy : 6816253289, 156, 0, [830684, 107417]
economy : 7486080186, 88, 2, [555802, 976870]
business : 3440917677, 121, 1, [687791, 227105]
economy : 9666324702, 128, 0, [984826, 227105]
economy : 5232728902, 46, 2, [107417, 474237]
economy : 5962633351, 167, 0, [474237, 227105]
economy : 8134229493, 133, 2, [830684, 474237]
economy : 5628311882, 125, 0, [984826, 687791]
economy : 7492452993, 83, 0, [107417, 830684]
business : 9761113473, 178, 1, [555802, 107417]
luxury : 7733171532, 193, 4, [740833, 227105]
economy : 1187454997, 198, 2, [227105, 984826]
economy : 1253628892, 122, 2, [107417, 830684]
economy : 9516012403, 166, 2, [107417, 976870]
economy : 8462034799, 184, 6, [984826, 555802]
economy : 8118090002, 77, 6, [474237, 984826]
economy : 1427087734, 188, 1, [740833, 119743]
economy : 1198321448, 157, 2, [107417, 687791]
economy : 1259943282, 54, 2, [740833, 976870]
economy : 2017653402, 132, 1, [555802, 830684]
