13 10 2469
9756 15075.0 15957 18648 5640
hub : 405377, -1657, 714, 43.67, 157800, 8
hub : 602366, -2905, 0, 41.47, 279000, 7
regional : 252662, -400, 2419, 75.57, 107800, 3
regional : 768071, -2620, 1868, 98.12, 140200, 4
hub : 376964, 316, 3097, 38.28, 234300, 9
major : 810348, 602, 1202, 71.61, 233250, 4
major : 621434, 2394, -148, 73.04, 227000, 6
hub : 349241, -53, -415, 55.99, 215400, 5
major : 451688, 1616, -613, 74.47, 188500, 4
major : 191771, 927, -409, 60.72, 162500, 6
economy : 3939669828, 176, 2, [376964, 349241]
economy : 7988158241, 75, 2, [349241, 451688]
economy : 5225155027, 62, 0, [376964, 405377]
economy : 4339878989, 145, 0, [621434, 252662]
business : 9749169495, 190, 7, [252662, 376964]
economy : 6447117779, 143, 8, [602366, 349241]
economy : 6071286490, 157, 8, [191771, 252662]
economy : 1349669965, 98, 1, [376964, 252662]
economy : 4201436989, 69, 8, [252662, 768071]
business : 7946813553, 87, 3, [376964, 252662]
first : 8113515783, 67, 1, [376964, 349241]
economy : 8650423974, 79, 2, [405377, 252662]
economy : 4895480615, 96, 1, [621434, 349241]
economy : 2658254978, 192, 2, [349241, 376964]
economy : 5010099518, 57, 3, [621434, 451688]
economy : 6467263757, 179, 6, [768071, 252662]
economy : 8734061873, 135, 1, [768071, 252662]
economy : 5987889936, 176, 5, [768071, 252662]
economy : 4193716453, 177, 9, [810348, 621434]
economy : 5901743853, 54, 3, [451688, 602366]
economy : 2397321054, 188, 3, [405377, 349241]
economy : 4419650084, 96, 0, [349241, 191771]
economy : 4312569001, 49, 1, [602366, 376964]
business : 9148524217, 185, 2, [602366, 451688]
economy : 2736430186, 50, 1, [810348, 349241]
economy : 4014318796, 94, 9, [810348, 376964]
economy : 5151430594, 97, 0, [621434, 191771]
economy : 1208018304, 134, 1, [451688, 191771]
economy : 2493207037, 156, 1, [252662, 191771]
economy : 1317942738, 144, 1, [602366, 252662]
luxury : 8557367749, 126, 2, [191771, 768071]
economy : 6352883212, 126, 2, [602366, 376964]
economy : 2768322489, 194, 5, [621434, 252662]
business : 2133789517, 63, 2, [191771, 252662]
economy : 5706625393, 164, 2, [349241, 191771]
first : 5862900558, 64, 5, [349241, 376964]
business : 7961549924, 161, 10, [768071, 451688]
economy : 1478974184, 83, 1, [405377, 191771]
economy : 1820283640, 147, 2, [810348, 451688]
first : 8318039802, 83, 0, [621434, 405377]
economy : 5256996576, 43, 0, [376964, 810348]
economy : 1812575671, 62, 0, [451688, 376964]
economy : 2200156124, 86, 1, [252662, 621434]
economy : 6003879602, 60, 0, [349241, 451688]
economy : 4113092450, 94, 2, [191771, 810348]
economy : 1252714907, 162, 1, [602366, 376964]
economy : 3383069643, 138, 6, [810348, 252662]
first : 5965758506, 106, 2, [405377, 810348]
economy : 7308856923, 64, 2, [602366, 405377]
business : 2736472942, 101, 2, [349241, 376964]
business : 2745500173, 148, 0, [252662, 451688]
first : 7774274639, 42, 1, [810348, 768071]
business : 6411261962, 196, 0, [376964, 810348]
economy : 5104876086, 118, 6, [252662, 768071]
economy : 2440134956, 51, 5, [602366, 451688]
economy : 2068195338, 101, 0, [191771, 349241]
economy : 1472395094, 137, 1, [451688, 768071]
economy : 7162743207, 186, 1, [405377, 191771]
economy : 2823771162, 140, 1, [810348, 349241]
economy : 5801492607, 157, 2, [349241, 191771]
economy : 1666788526, 47, 0, [376964, 451688]
economy : 4168955070, 54, 2, [602366, 768071]
business : 4863551430, 185, 2, [405377, 602366]
economy : 5866494786, 41, 1, [621434, 451688]
economy : 3148165089, 78, 0, [621434, 191771]
economy : 7289911365, 124, 0, [621434, 768071]
first : 5929936376, 183, 1, [252662, 451688]
economy : 4531933295, 114, 1, [405377, 451688]
economy : 6338207677, 63, 1, [405377, 768071]
economy : 9915860996, 124, 3, [602366, 768071]
business : 8198724547, 198, 2, [602366, 252662]
business : 7626727045, 190, 1, [349241, 376964]
first : 5850548793, 168, 7, [810348, 349241]
economy : 5190962965, 158, 2, [405377, 810348]
economy : 9139619172, 70, 0, [252662, 349241]
business : 3797658878, 176, 2, [621434, 376964]
economy : 7806963367, 164, 2, [451688, 602366]
first : 9785954680, 178, 1, [621434, 376964]
business : 2766692987, 73, 1, [376964, 621434]
economy : 9199903966, 90, 0, [376964, 405377]
economy : 2298701303, 199, 3, [376964, 252662]
business : 8316435478, 80, 5, [191771, 810348]
economy : 8661735707, 170, 2, [810348, 768071]
first : 3652233489, 54, 0, [810348, 602366]
first : 8942790787, 130, 0, [810348, 602366]
economy : 6901877232, 187, 2, [602366, 810348]
economy : 7914230062, 127, 2, [621434, 451688]
economy : 7357420051, 186, 9, [810348, 602366]
business : 1647547281, 175, 5, [451688, 768071]
economy : 2946459386, 190, 2, [191771, 252662]
economy : 7159049109, 167, 3, [602366, 191771]
first : 8967091253, 125, 2, [621434, 349241]
economy : 9775775980, 43, 0, [621434, 376964]
economy : 4329704819, 135, 1, [376964, 768071]
economy : 7856383387, 163, 1, [602366, 376964]
economy : 9457672364, 56, 1, [191771, 768071]
economy : 9622037323, 166, 5, [768071, 252662]
economy : 6036084206, 185, 1, [451688, 602366]
economy : 2055354196, 162, 1, [405377, 768071]
economy : 8104636625, 110, 2, [191771, 405377]
economy : 3274515002, 67, 6, [376964, 621434]
economy : 5078541229, 180, 0, [349241, 252662]
economy : 5040937741, 53, 5, [191771, 252662]
luxury : 9043995050, 41, 1, [621434, 451688]
business : 2432113315, 67, 3, [768071, 405377]
economy : 2101358909, 137, 1, [451688, 405377]
business : 3571330377, 170, 4, [768071, 451688]
economy : 4167384909, 148, 2, [810348, 602366]
economy : 6425280586, 87, 3, [191771, 810348]
business : 8741359856, 68, 1, [451688, 621434]
economy : 2286732165, 80, 4, [191771, 451688]
business : 2928441800, 135, 2, [602366, 349241]
first : 6412995580, 65, 1, [602366, 810348]
economy : 2756340076, 71, 2, [621434, 191771]
business : 9078119856, 58, 2, [451688, 376964]
economy : 2484445446, 99, 4, [810348, 451688]
economy : 9388743705, 155, 0, [602366, 810348]
economy : 9359209676, 196, 8, [621434, 602366]
economy : 2491674861, 83, 0, [768071, 810348]
economy : 4255662346, 143, 3, [349241, 621434]
economy : 1868846832, 172, 3, [405377, 252662]
economy : 3243821466, 82, 1, [621434, 191771]
economy : 9092215165, 110, 1, [191771, 451688]
economy : 9238525637, 84, 1, [768071, 810348]
economy : 2207861951, 176, 2, [376964, 602366]
business : 7858417214, 148, 8, [349241, 602366]
business : 9588673525, 199, 1, [191771, 376964]
economy : 6099684144, 88, 0, [376964, 621434]
economy : 5640364966, 125, 1, [376964, 621434]
economy : 3806042954, 162, 2, [810348, 768071]
economy : 8032006920, 174, 4, [810348, 602366]
economy : 9021900735, 107, 3, [376964, 191771]
luxury : 3802890580, 50, 3, [810348, 451688]
business : 8519277545, 99, 1, [191771, 621434]
economy : 5899310482, 108, 2, [376964, 451688]
economy : 5192564707, 100, 0, [191771, 810348]
economy : 9618778189, 198, 5, [602366, 621434]
business : 7462056307, 67, 2, [405377, 252662]
economy : 6710949812, 117, 1, [768071, 451688]
economy : 2264031302, 112, 4, [349241, 602366]
luxury : 8305646591, 51, 4, [451688, 768071]
economy : 8128624225, 49, 7, [810348, 621434]
economy : 2055478279, 197, 1, [349241, 376964]
business : 1502327266, 96, 1, [376964, 602366]
economy : 9290328573, 147, 1, [376964, 451688]
economy : 5485479597, 137, 2, [191771, 405377]
economy : 7917948914, 143, 0, [602366, 451688]
economy : 7619312032, 144, 0, [768071, 252662]
economy : 5371620277, 182, 5, [252662, 191771]
economy : 5859810566, 155, 2, [621434, 768071]
economy : 5557189503, 189, 2, [376964, 191771]
business : 5813094828, 199, 2, [376964, 768071]
economy : 6020682009, 187, 6, [451688, 252662]
economy : 8424379172, 127, 3, [621434, 376964]
economy : 5443674763, 86, 2, [191771, 768071]
first : 6488931640, 147, 0, [451688, 768071]
economy : 7785550306, 76, 0, [451688, 602366]
economy : 1403970281, 135, 0, [252662, 621434]
first : 9478203993, 89, 1, [376964, 621434]
economy : 7376597841, 72, 3, [349241, 621434]
economy : 7459384381, 162, 10, [252662, 451688]
economy : 7612249435, 130, 0, [405377, 451688]
economy : 5056961167, 137, 1, [405377, 768071]
economy : 7661822123, 41, 1, [451688, 252662]
economy : 5668652358, 147, 2, [191771, 349241]
economy : 6702920540, 198, 1, [810348, 602366]
economy : 9054630923, 79, 2, [451688, 621434]
business : 7181763166, 118, 0, [405377, 768071]
economy : 4284192629, 160, 1, [768071, 376964]
first : 9932989430, 163, 2, [602366, 451688]
economy : 4199004079, 183, 0, [376964, 768071]
economy : 2357049993, 141, 5, [621434, 191771]
economy : 3919523578, 52, 3, [621434, 252662]
economy : 6772690445, 191, 1, [451688, 768071]
economy : 8759136518, 145, 1, [768071, 252662]
business : 3627022788, 74, 10, [191771, 252662]
economy : 1009127895, 139, 0, [349241, 252662]
economy : 9858886291, 160, 4, [621434, 376964]
economy : 1988707954, 146, 2, [621434, 376964]
business : 1101288259, 115, 1, [451688, 252662]
economy : 2401104097, 172, 2, [768071, 810348]
economy : 9581534838, 125, 2, [405377, 621434]
economy : 4331349249, 182, 3, [405377, 768071]
economy : 1018715298, 184, 1, [810348, 349241]
economy : 3294276929, 104, 1, [376964, 621434]
economy : 8955459712, 52, 2, [768071, 191771]
business : 3854692542, 156, 1, [349241, 621434]
economy : 6797255376, 101, 2, [602366, 451688]
economy : 9759963642, 69, 2, [376964, 252662]
first : 6208386370, 192, 2, [252662, 191771]
business : 8423244744, 64, 2, [191771, 451688]
first : 9938012803, 183, 1, [451688, 405377]
economy : 3025488271, 40, 1, [602366, 451688]
economy : 4997356808, 173, 2, [252662, 376964]
business : 3190454638, 171, 1, [252662, 810348]
economy : 6817535572, 132, 2, [621434, 451688]
business : 4392436923, 107, 1, [252662, 405377]
economy : 1125399878, 89, 2, [602366, 252662]
economy : 2920190967, 155, 3, [451688, 768071]
economy : 1990464773, 69, 1, [405377, 602366]
economy : 3737391592, 146, 3, [349241, 191771]
economy : 8916180394, 100, 2, [349241, 191771]
business : 4468332872, 56, 0, [810348, 376964]
business : 5485516541, 90, 1, [349241, 621434]
economy : 1214930877, 145, 5, [768071, 376964]
economy : 3934725149, 142, 1, [252662, 191771]
economy : 2744824445, 55, 2, [252662, 349241]
business : 9013097338, 117, 4, [191771, 621434]
business : 3785337683, 184, 6, [191771, 349241]
economy : 5569447518, 51, 1, [191771, 252662]
economy : 1658594411, 111, 1, [602366, 768071]
business : 8225276690, 160, 9, [405377, 810348]
business : 9445993457, 107, 1, [405377, 191771]
economy : 4514382639, 98, 6, [810348, 376964]
business : 7670159153, 167, 3, [349241, 451688]
luxury : 2212751051, 74, 1, [768071, 405377]
economy : 6574946768, 123, 2, [405377, 621434]
economy : 7173797126, 178, 3, [405377, 451688]
economy : 8600218403, 164, 2, [405377, 602366]
economy : 5091773883, 143, 5, [810348, 621434]
economy : 6299066393, 119, 9, [252662, 349241]
economy : 5029633000, 55, 6, [405377, 349241]
business : 2160602012, 80, 6, [376964, 191771]
economy : 9466904078, 139, 2, [252662, 768071]
economy : 6665596389, 93, 5, [252662, 451688]
luxury : 2392609650, 60, 10, [191771, 768071]
business : 7085386405, 123, 2, [191771, 768071]
economy : 6754690735, 41, 2, [191771, 602366]
business : 8036554425, 138, 2, [768071, 191771]
first : 9065128732, 47, 1, [768071, 405377]
business : 9413326422, 191, 1, [621434, 376964]
business : 9745483641, 58, 2, [768071, 451688]
