5 144 2928
12330 4932 9450 122940 4360
hub : 118815, 10198, 4722, 39.38, 162300, 3
hub : 146273, 8562, 15846, 38.72, 280200, 3
hub : 453718, -3650, 14105, 62.92, 208200, 2
hub : 775884, -12622, 8288, 41.25, 186000, 5
hub : 785484, -9004, -3943, 52.8, 199800, 2
hub : 478446, 503, -9988, 35.86, 276300, 5
hub : 535877, 11326, -13137, 66.0, 179700, 3
hub : 505609, 22675, -13137, 55.11, 252600, 5
hub : 110455, 17712, -23982, 50.16, 269400, 5
hub : 522419, 12975, -34332, 54.56, 223500, 3
hub : 246253, 25079, -34332, 57.53, 158400, 2
hub : 224063, 36977, -28823, 36.19, 184200, 5
hub : 664949, 32725, -19533, 65.34, 191400, 4
hub : 598151, 40107, -8037, 36.74, 276900, 2
hub : 707174, 49579, -16292, 40.48, 276900, 2
major : 717866, 3206, 15609, 73.15, 217750, 1
major : 123562, 6332, 22316, 55.44, 168000, 2
major : 229571, 13376, 22790, 60.39, 187000, 1
major : 968452, -7160, 10321, 69.63, 144750, 3
major : 730425, 602, 8910, 59.95, 158000, 2
major : 802509, -9506, 20420, 72.05, 205250, 1
major : 808784, -13977, 15674, 68.09, 148750, 3
major : 470689, -17790, 2716, 47.08, 231500, 1
major : 730236, -21781, 11399, 76.45, 226000, 1
major : 477677, -3608, 1106, 66.66, 191750, 2
major : 819528, 7033, -4571, 59.18, 174000, 1
major : 818570, 17196, -12034, 67.21, 170750, 2
major : 521740, 22993, -21120, 55.66, 165250, 3
major : 569649, 29205, -18433, 50.6, 227750, 2
major : 113933, 11969, -22954, 68.64, 238250, 2
major : 345849, 31268, -29313, 64.68, 161250, 3
major : 708289, 37294, -36793, 61.27, 187250, 2
major : 935341, 38724, -23605, 51.48, 128750, 3
major : 246638, 44160, -34649, 53.9, 189750, 2
major : 331875, 47737, -14226, 72.71, 186500, 1
major : 633063, 51208, -6947, 60.06, 142750, 2
regional : 712080, 8958, 4174, 69.19, 105600, 2
regional : 489614, 11507, 16876, 77.11, 160600, 1
regional : 643748, 8102, 13843, 80.41, 181600, 2
regional : 483860, 9369, 16292, 72.05, 170600, 1
regional : 411574, -5938, 13527, 73.59, 151600, 1
regional : 582198, -2376, 16089, 72.71, 188200, 2
regional : 379379, -4727, 10340, 81.73, 138000, 2
regional : 698997, -306, 14343, 105.38, 183000, 2
regional : 658210, -4054, 17035, 88.0, 116000, 1
regional : 381675, -11983, 11770, 106.48, 167000, 1
regional : 786623, -12342, 4580, 66.22, 133200, 2
regional : 885895, -12547, 7490, 85.36, 198400, 2
regional : 447536, -6764, -1771, 88.99, 164600, 1
regional : 897055, -10056, -3812, 93.72, 105200, 2
regional : 122615, -7578, -4304, 88.0, 164200, 1
regional : 767697, -12836, -4181, 74.25, 164600, 1
regional : 247130, -9657, -4818, 103.18, 196000, 1
regional : 292590, 3990, -8769, 74.8, 116000, 1
regional : 250492, 114, -7633, 92.51, 145800, 1
regional : 279883, 134, -8916, 81.62, 123200, 2
