12 136 2176
10494 5742 11466 103320 5496
hub : 417311, -1677, -10747, 49.83, 216000, 3
hub : 960061, 8844, -7786, 65.56, 164100, 3
hub : 838640, 21292, -4282, 62.04, 179400, 5
hub : 761672, 29070, 2376, 46.75, 199500, 3
hub : 381962, 21049, 9365, 42.79, 274200, 2
hub : 772123, 11398, 17775, 44.11, 186600, 4
hub : 938227, 2418, 9950, 46.31, 192600, 3
hub : 186761, 11227, 2410, 33.11, 253800, 3
hub : 374270, -2517, 326, 39.27, 228000, 3
hub : 534387, -13096, 7052, 44.44, 172200, 2
hub : 418344, -7621, 15748, 44.55, 269100, 4
hub : 842825, -19608, 21042, 58.08, 248400, 4
hub : 863529, -27881, 11289, 61.49, 287100, 4
major : 931912, 9746, -13247, 74.8, 220250, 2
major : 905150, 14448, -9256, 56.21, 210250, 3
major : 860409, 4703, -2540, 65.23, 137000, 2
major : 106895, 15169, -1706, 57.2, 152500, 2
major : 582969, 20172, 2141, 57.75, 206250, 2
major : 588403, 26933, -2640, 52.25, 199000, 1
major : 205458, 35663, 2551, 69.85, 192750, 2
major : 488944, 29049, 11314, 52.69, 153000, 1
major : 927058, 20441, 15318, 49.17, 132750, 3
major : 835492, 9494, 10386, 73.37, 143750, 3
major : 806460, 15454, 25869, 57.2, 161000, 2
major : 199116, 6468, 24885, 52.8, 247250, 1
major : 553028, -2691, 14730, 50.82, 213000, 2
major : 246392, -3475, 2748, 48.84, 194500, 3
major : 382791, 1140, 4991, 66.66, 139000, 2
major : 356099, 14938, 6411, 61.6, 156250, 2
major : 428823, 5781, 2603, 49.06, 201250, 1
major : 930247, -8487, 537, 63.47, 247750, 3
major : 720414, -3088, -5264, 71.83, 177750, 3
major : 753299, -9177, 10785, 44.0, 148250, 2
major : 261169, -21456, 13304, 55.22, 204250, 3
major : 429920, -26634, 17481, 51.81, 220250, 2
major : 167306, -22247, 3314, 66.0, 248000, 3
regional : 515864, 621, -12295, 73.48, 119800, 1
regional : 842227, -2616, -10898, 95.81, 170000, 2
regional : 956624, 8330, -6845, 80.19, 102600, 2
regional : 577957, 9897, -7730, 110.0, 156400, 2
regional : 320527, 8063, -9076, 93.61, 114200, 1
regional : 965400, 19602, -6965, 83.38, 164600, 2
regional : 563957, 22023, -3928, 98.78, 110400, 1
regional : 665634, 28352, -311, 67.87, 155600, 2
regional : 872728, 18445, 8323, 76.56, 129800, 2
regional : 758451, 21062, 6554, 88.33, 189600, 2
regional : 135229, 18791, 7056, 91.85, 182200, 1
regional : 721829, 23903, 11556, 78.32, 117000, 2
regional : 959194, 20798, 7754, 90.31, 197600, 1
regional : 213902, 14327, 17384, 103.95, 120800, 2
regional : 149720, 9077, 17940, 107.14, 146400, 2
regional : 559785, 11410, 15016, 98.23, 157600, 2
regional : 335736, 12919, 18781, 84.04, 188400, 2
regional : 279737, -1030, 9489, 77.22, 101400, 2
regional : 379355, 10119, 3325, 74.14, 115800, 1
regional : 483017, 11180, 5909, 87.67, 106200, 1
regional : 541663, -2575, -2293, 92.95, 144600, 2
regional : 559057, -285, 2820, 109.12, 104600, 1
regional : 631768, -11430, 9410, 70.4, 109600, 2
regional : 368476, -13556, 7368, 89.54, 188400, 1
regional : 714268, -10876, 6835, 73.7, 115200, 1
regional : 159157, -6264, 18231, 108.02, 166200, 2
regional : 992671, -8681, 17307, 88.0, 176000, 2
regional : 115814, -10289, 14366, 81.62, 169400, 1
regional : 503121, -22352, 18817, 67.1, 191200, 1
regional : 553286, -19373, 19222, 70.73, 192600, 2
regional : 941141, -18745, 18304, 84.04, 163000, 2
regional : 880386, -18279, 20756, 99.66, 148600, 1
regional : 933522, -16374, 18986, 103.07, 184800, 2
regional : 179692, -28414, 8232, 81.95, 162400, 1
regional : 946738, -25929, 10023, 67.54, 193000, 2
regional : 570670, -27806, 13733, 69.3, 144600, 2
regional : 750700, 5940, -13045, 73.26, 194400, 2
regional : 673670, 7932, -14615, 88.55, 197800, 2
regional : 452272, 7562, -16066, 69.19, 163400, 2
regional : 417796, 9533, -12356, 77.77, 171600, 1
regional : 252319, 7388, -13310, 89.1, 148200, 1
regional : 937391, 14284, -7309, 99.99, 118800, 2
regional : 643689, 4730, -3750, 102.96, 158800, 2
regional : 309559, 2717, -4093, 104.5, 126800, 1
regional : 497202, 14518, -2487, 97.02, 174400, 2
regional : 381207, 19667, 1535, 77.55, 135200, 1
regional : 591007, 21915, 1159, 83.38, 191400, 2
regional : 957948, 20200, 2717, 88.55, 112600, 2
